model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
roberta-base,CLS_IN-TASK,768,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(83.55), 'acc': np.float64(83.41), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.58), 'acc': np.float64(87.71), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.67), 'acc': np.float64(94.66), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.02), 'acc': np.float64(86.12), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.47), 'acc': 88.03, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(72.91), 'acc': 79.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.37), 'acc': 72.17, 'f1': 81.26, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG_IN-TASK,768,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(85.25), 'acc': np.float64(85.36), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.0), 'acc': np.float64(90.39), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.61), 'acc': np.float64(95.57), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.69), 'acc': np.float64(88.6), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.11), 'acc': 90.88, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.27), 'acc': 91.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.34), 'acc': 74.43, 'f1': 82.12, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG-NS_IN-TASK,768,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(85.04), 'acc': np.float64(85.19), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.85), 'acc': np.float64(90.17), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.53), 'acc': np.float64(95.54), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.02), 'acc': np.float64(88.18), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.11), 'acc': 90.83, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.77), 'acc': 91.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.07), 'acc': 74.26, 'f1': 82.02, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG_IN-TASK,1536,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(85.34), 'acc': np.float64(85.23), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.12), 'acc': np.float64(90.2), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.59), 'acc': np.float64(95.55), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.59), 'acc': np.float64(88.45), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.11), 'acc': 90.66, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.26), 'acc': 91.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.95), 'acc': 74.61, 'f1': 82.05, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(85.14), 'acc': np.float64(85.02), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.88), 'acc': np.float64(90.23), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.53), 'acc': np.float64(95.33), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.21), 'acc': np.float64(88.48), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.88), 'acc': 90.72, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.11), 'acc': 93.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.75), 'acc': 74.9, 'f1': 82.35, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(85.12), 'acc': np.float64(85.15), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.72), 'acc': np.float64(90.17), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.5), 'acc': np.float64(95.55), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.26), 'acc': np.float64(88.62), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.33), 'acc': 91.16, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.75), 'acc': 91.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.34), 'acc': 74.72, 'f1': 82.33, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG+AVG-NS_IN-TASK,2304,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(85.21), 'acc': np.float64(85.19), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.73), 'acc': np.float64(90.23), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.51), 'acc': np.float64(95.49), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.4), 'acc': np.float64(88.57), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.99), 'acc': 90.5, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.27), 'acc': 90.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.78), 'acc': 73.51, 'f1': 81.54, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(83.22), 'acc': np.float64(83.11), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.43), 'acc': np.float64(87.5), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.25), 'acc': np.float64(94.3), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.04), 'acc': np.float64(85.64), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.24), 'acc': 87.37, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(73.07), 'acc': 80.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.42), 'acc': 73.28, 'f1': 82.11, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(85.09), 'acc': np.float64(85.04), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.16), 'acc': np.float64(90.15), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.63), 'acc': np.float64(95.58), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.62), 'acc': np.float64(88.75), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.99), 'acc': 90.83, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.23), 'acc': 92.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.68), 'acc': 72.99, 'f1': 81.27, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG-NS_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(84.88), 'acc': np.float64(84.96), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.87), 'acc': np.float64(90.12), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.56), 'acc': np.float64(95.54), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.92), 'acc': np.float64(88.31), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.76), 'acc': 90.99, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.22), 'acc': 91.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.46), 'acc': 74.09, 'f1': 82.03, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG_LOO-SENTEVAL,1536,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(85.06), 'acc': np.float64(85.06), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.2), 'acc': np.float64(90.17), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.63), 'acc': np.float64(95.55), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.52), 'acc': np.float64(88.71), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.07), 'acc': 90.55, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.54), 'acc': 90.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.41), 'acc': 74.14, 'f1': 81.71, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG-NS_LOO-SENTEVAL,1536,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(84.98), 'acc': np.float64(84.9), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.92), 'acc': np.float64(90.2), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.55), 'acc': np.float64(95.54), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.18), 'acc': np.float64(88.44), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.53), 'acc': 90.66, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.25), 'acc': 92.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.14), 'acc': 71.48, 'f1': 80.66, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG+AVG-NS_LOO-SENTEVAL,1536,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(84.94), 'acc': np.float64(84.99), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.74), 'acc': np.float64(90.01), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.57), 'acc': np.float64(95.61), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.16), 'acc': np.float64(88.35), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.76), 'acc': 90.61, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.8), 'acc': 92.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.78), 'acc': 74.09, 'f1': 82.01, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,2304,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(84.94), 'acc': np.float64(84.95), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.85), 'acc': np.float64(90.25), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.5), 'acc': np.float64(95.53), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.31), 'acc': np.float64(88.66), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.19), 'acc': 90.61, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.14), 'acc': 91.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.02), 'acc': 74.03, 'f1': 81.61, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS_AVG-SENTEVAL,768,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(83.27), 'acc': np.float64(83.27), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.45), 'acc': np.float64(87.5), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.5), 'acc': np.float64(94.5), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.06), 'acc': np.float64(85.85), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.58), 'acc': 87.31, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(73.92), 'acc': 81.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.06), 'acc': 72.64, 'f1': 81.68, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG_AVG-SENTEVAL,768,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(85.16), 'acc': np.float64(85.11), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.1), 'acc': np.float64(90.25), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.65), 'acc': np.float64(95.65), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.62), 'acc': np.float64(88.68), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.99), 'acc': 90.61, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.0), 'acc': 91.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.56), 'acc': 74.14, 'f1': 82.05, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG-NS_AVG-SENTEVAL,768,dynamic_layer_weighted_sum-avg,4,0,12,"{'devacc': np.float64(84.89), 'acc': np.float64(84.83), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.83), 'acc': np.float64(90.23), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.56), 'acc': np.float64(95.63), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.97), 'acc': np.float64(88.28), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.99), 'acc': 90.77, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.04), 'acc': 91.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.73), 'acc': 75.07, 'f1': 82.51, 'ndev': 4076, 'ntest': 1725}"
